m,fmt,accum,tol,max_iters,warmup_small,restart_every,precond,iters,converged
64,fp32,small,1e-06,1000,0,0,jacobi,131,1
64,fp32,fp32,1e-06,1000,0,0,jacobi,131,1
64,tf32,small,0.001,1000,0,0,jacobi,21,1
64,tf32,small,0.001,1000,20,40,jacobi,20,1
64,tf32,fp32,0.001,1000,0,0,jacobi,20,1
64,bfloat16,small,0.005,1000,0,0,jacobi,12,1
64,bfloat16,small,0.005,1000,10,25,jacobi,10,1
64,bfloat16,fp32,0.005,1000,0,0,jacobi,10,1
64,fp8,small,0.2,1000,0,0,jacobi,2,1
64,fp8,small,0.2,1000,10,20,jacobi,2,1
64,fp8,fp32,0.2,1000,0,0,jacobi,2,1
128,fp32,small,1e-06,1000,0,0,jacobi,218,1
128,fp32,fp32,1e-06,1000,0,0,jacobi,218,1
128,tf32,small,0.001,1000,0,0,jacobi,21,1
128,tf32,small,0.001,1000,20,40,jacobi,20,1
128,tf32,fp32,0.001,1000,0,0,jacobi,20,1
128,bfloat16,small,0.005,1000,0,0,jacobi,11,1
128,bfloat16,small,0.005,1000,10,25,jacobi,10,1
128,bfloat16,fp32,0.005,1000,0,0,jacobi,10,1
128,fp8,small,0.2,1000,0,0,jacobi,2,1
128,fp8,small,0.2,1000,10,20,jacobi,2,1
128,fp8,fp32,0.2,1000,0,0,jacobi,2,1
