m,fmt,accum,iter,rel_resid,tol,kind
64,fp32,small,1,0.27926791,1e-06,iter
64,fp32,small,2,0.10619169,1e-06,iter
64,fp32,small,3,0.055433445,1e-06,iter
64,fp32,small,4,0.031962607,1e-06,iter
64,fp32,small,5,0.020928191,1e-06,iter
64,fp32,small,6,0.014177322,1e-06,iter
64,fp32,small,7,0.010116592,1e-06,iter
64,fp32,small,8,0.0076278248,1e-06,iter
64,fp32,small,9,0.0058718026,1e-06,iter
64,fp32,small,10,0.0048158639,1e-06,iter
64,fp32,small,11,0.0040997299,1e-06,iter
64,fp32,small,12,0.0033916021,1e-06,iter
64,fp32,small,13,0.0027924983,1e-06,iter
64,fp32,small,14,0.0023332387,1e-06,iter
64,fp32,small,15,0.0020371396,1e-06,iter
64,fp32,small,16,0.0017403564,1e-06,iter
64,fp32,small,17,0.0015254705,1e-06,iter
64,fp32,small,18,0.0013189981,1e-06,iter
64,fp32,small,19,0.0011502655,1e-06,iter
64,fp32,small,20,0.00099173491,1e-06,iter
64,fp32,small,21,0.00085309806,1e-06,iter
64,fp32,small,22,0.00077046949,1e-06,iter
64,fp32,small,23,0.00068997894,1e-06,iter
64,fp32,small,24,0.000620067,1e-06,iter
64,fp32,small,25,0.00056970137,1e-06,iter
64,fp32,small,26,0.0005341295,1e-06,iter
64,fp32,small,27,0.00049028662,1e-06,iter
64,fp32,small,28,0.0004374726,1e-06,iter
64,fp32,small,29,0.00038314864,1e-06,iter
64,fp32,small,30,0.00033508247,1e-06,iter
64,fp32,small,31,0.00029909521,1e-06,iter
64,fp32,small,32,0.00026830734,1e-06,iter
64,fp32,small,33,0.00024607655,1e-06,iter
64,fp32,small,34,0.00021778293,1e-06,iter
64,fp32,small,35,0.00019217185,1e-06,iter
64,fp32,small,36,0.00017016497,1e-06,iter
64,fp32,small,37,0.00015520545,1e-06,iter
64,fp32,small,38,0.00014121832,1e-06,iter
64,fp32,small,39,0.00012980039,1e-06,iter
64,fp32,small,40,0.00012206061,1e-06,iter
64,fp32,small,41,0.00011434504,1e-06,iter
64,fp32,small,42,0.00010581686,1e-06,iter
64,fp32,small,43,9.675583e-05,1e-06,iter
64,fp32,small,44,9.0304537e-05,1e-06,iter
64,fp32,small,45,8.2984196e-05,1e-06,iter
64,fp32,small,46,7.9711172e-05,1e-06,iter
64,fp32,small,47,8.0805745e-05,1e-06,iter
64,fp32,small,48,7.9566591e-05,1e-06,iter
64,fp32,small,49,7.7904158e-05,1e-06,iter
64,fp32,small,50,7.5386917e-05,1e-06,iter
64,fp32,small,51,7.2647737e-05,1e-06,iter
64,fp32,small,52,7.0601789e-05,1e-06,iter
64,fp32,small,53,6.8212983e-05,1e-06,iter
64,fp32,small,54,6.5080858e-05,1e-06,iter
64,fp32,small,55,6.1450955e-05,1e-06,iter
64,fp32,small,56,5.8731359e-05,1e-06,iter
64,fp32,small,57,5.76743e-05,1e-06,iter
64,fp32,small,58,5.6049965e-05,1e-06,iter
64,fp32,small,59,5.4023818e-05,1e-06,iter
64,fp32,small,60,5.0446964e-05,1e-06,iter
64,fp32,small,61,4.8389218e-05,1e-06,iter
64,fp32,small,62,4.6728986e-05,1e-06,iter
64,fp32,small,63,4.4121953e-05,1e-06,iter
64,fp32,small,64,4.1311021e-05,1e-06,iter
64,fp32,small,65,3.8822254e-05,1e-06,iter
64,fp32,small,66,3.7316087e-05,1e-06,iter
64,fp32,small,67,3.6263475e-05,1e-06,iter
64,fp32,small,68,3.5267261e-05,1e-06,iter
64,fp32,small,69,3.3945973e-05,1e-06,iter
64,fp32,small,70,3.3976896e-05,1e-06,iter
64,fp32,small,71,3.3118205e-05,1e-06,iter
64,fp32,small,72,3.2323929e-05,1e-06,iter
64,fp32,small,73,3.2457585e-05,1e-06,iter
64,fp32,small,74,3.3357403e-05,1e-06,iter
64,fp32,small,75,3.3228771e-05,1e-06,iter
64,fp32,small,76,3.1814314e-05,1e-06,iter
64,fp32,small,77,3.0578307e-05,1e-06,iter
64,fp32,small,78,2.9673081e-05,1e-06,iter
64,fp32,small,79,2.9678467e-05,1e-06,iter
64,fp32,small,80,2.9809351e-05,1e-06,iter
64,fp32,small,81,2.8150846e-05,1e-06,iter
64,fp32,small,82,2.631538e-05,1e-06,iter
64,fp32,small,83,2.4070552e-05,1e-06,iter
64,fp32,small,84,2.1352569e-05,1e-06,iter
64,fp32,small,85,1.9483052e-05,1e-06,iter
64,fp32,small,86,1.7520193e-05,1e-06,iter
64,fp32,small,87,1.6128173e-05,1e-06,iter
64,fp32,small,88,1.496851e-05,1e-06,iter
64,fp32,small,89,1.3904228e-05,1e-06,iter
64,fp32,small,90,1.3442364e-05,1e-06,iter
64,fp32,small,91,1.3845206e-05,1e-06,iter
64,fp32,small,92,1.4508277e-05,1e-06,iter
64,fp32,small,93,1.5241402e-05,1e-06,iter
64,fp32,small,94,1.5953887e-05,1e-06,iter
64,fp32,small,95,1.5842679e-05,1e-06,iter
64,fp32,small,96,1.4847319e-05,1e-06,iter
64,fp32,small,97,1.3261717e-05,1e-06,iter
64,fp32,small,98,1.2441905e-05,1e-06,iter
64,fp32,small,99,1.1955568e-05,1e-06,iter
64,fp32,small,100,1.1150887e-05,1e-06,iter
64,fp32,small,101,1.0400762e-05,1e-06,iter
64,fp32,small,102,1.0020146e-05,1e-06,iter
64,fp32,small,103,9.6536078e-06,1e-06,iter
64,fp32,small,104,9.3382141e-06,1e-06,iter
64,fp32,small,105,8.8496699e-06,1e-06,iter
64,fp32,small,106,8.158423e-06,1e-06,iter
64,fp32,small,107,7.4841792e-06,1e-06,iter
64,fp32,small,108,6.6563589e-06,1e-06,iter
64,fp32,small,109,6.1704341e-06,1e-06,iter
64,fp32,small,110,5.5595833e-06,1e-06,iter
64,fp32,small,111,4.9414029e-06,1e-06,iter
64,fp32,small,112,4.4868366e-06,1e-06,iter
64,fp32,small,113,3.9794027e-06,1e-06,iter
64,fp32,small,114,3.4888697e-06,1e-06,iter
64,fp32,small,115,3.1801226e-06,1e-06,iter
64,fp32,small,116,2.9363705e-06,1e-06,iter
64,fp32,small,117,2.64759e-06,1e-06,iter
64,fp32,small,118,2.5276997e-06,1e-06,iter
64,fp32,small,119,2.4017845e-06,1e-06,iter
64,fp32,small,120,2.2526806e-06,1e-06,iter
64,fp32,small,121,2.1592932e-06,1e-06,iter
64,fp32,small,122,2.0856694e-06,1e-06,iter
64,fp32,small,123,1.964175e-06,1e-06,iter
64,fp32,small,124,1.8295127e-06,1e-06,iter
64,fp32,small,125,1.593254e-06,1e-06,iter
64,fp32,small,126,1.4632736e-06,1e-06,iter
64,fp32,small,127,1.3200505e-06,1e-06,iter
64,fp32,small,128,1.1204356e-06,1e-06,iter
64,fp32,small,129,1.0750083e-06,1e-06,iter
64,fp32,small,130,1.0122635e-06,1e-06,iter
64,fp32,small,131,9.739905e-07,1e-06,iter
64,fp32,small,10,0.0048158653,1e-06,true
64,fp32,small,20,0.00099173398,1e-06,true
64,fp32,small,30,0.00033508145,1e-06,true
64,fp32,small,40,0.00012206488,1e-06,true
64,fp32,small,50,7.5394724e-05,1e-06,true
64,fp32,small,60,5.0446128e-05,1e-06,true
64,fp32,small,70,3.3980607e-05,1e-06,true
64,fp32,small,80,2.9804634e-05,1e-06,true
64,fp32,small,90,1.3443046e-05,1e-06,true
64,fp32,small,100,1.1152762e-05,1e-06,true
64,fp32,small,110,5.5683204e-06,1e-06,true
64,fp32,small,120,2.2753345e-06,1e-06,true
64,fp32,small,130,1.0608543e-06,1e-06,true
64,fp32,fp32,1,0.27926791,1e-06,iter
64,fp32,fp32,2,0.10619169,1e-06,iter
64,fp32,fp32,3,0.055433445,1e-06,iter
64,fp32,fp32,4,0.031962607,1e-06,iter
64,fp32,fp32,5,0.020928191,1e-06,iter
64,fp32,fp32,6,0.014177322,1e-06,iter
64,fp32,fp32,7,0.010116592,1e-06,iter
64,fp32,fp32,8,0.0076278248,1e-06,iter
64,fp32,fp32,9,0.0058718026,1e-06,iter
64,fp32,fp32,10,0.0048158639,1e-06,iter
64,fp32,fp32,11,0.0040997299,1e-06,iter
64,fp32,fp32,12,0.0033916021,1e-06,iter
64,fp32,fp32,13,0.0027924983,1e-06,iter
64,fp32,fp32,14,0.0023332387,1e-06,iter
64,fp32,fp32,15,0.0020371396,1e-06,iter
64,fp32,fp32,16,0.0017403564,1e-06,iter
64,fp32,fp32,17,0.0015254705,1e-06,iter
64,fp32,fp32,18,0.0013189981,1e-06,iter
64,fp32,fp32,19,0.0011502655,1e-06,iter
64,fp32,fp32,20,0.00099173491,1e-06,iter
64,fp32,fp32,21,0.00085309806,1e-06,iter
64,fp32,fp32,22,0.00077046949,1e-06,iter
64,fp32,fp32,23,0.00068997894,1e-06,iter
64,fp32,fp32,24,0.000620067,1e-06,iter
64,fp32,fp32,25,0.00056970137,1e-06,iter
64,fp32,fp32,26,0.0005341295,1e-06,iter
64,fp32,fp32,27,0.00049028662,1e-06,iter
64,fp32,fp32,28,0.0004374726,1e-06,iter
64,fp32,fp32,29,0.00038314864,1e-06,iter
64,fp32,fp32,30,0.00033508247,1e-06,iter
64,fp32,fp32,31,0.00029909521,1e-06,iter
64,fp32,fp32,32,0.00026830734,1e-06,iter
64,fp32,fp32,33,0.00024607655,1e-06,iter
64,fp32,fp32,34,0.00021778293,1e-06,iter
64,fp32,fp32,35,0.00019217185,1e-06,iter
64,fp32,fp32,36,0.00017016497,1e-06,iter
64,fp32,fp32,37,0.00015520545,1e-06,iter
64,fp32,fp32,38,0.00014121832,1e-06,iter
64,fp32,fp32,39,0.00012980039,1e-06,iter
64,fp32,fp32,40,0.00012206061,1e-06,iter
64,fp32,fp32,41,0.00011434504,1e-06,iter
64,fp32,fp32,42,0.00010581686,1e-06,iter
64,fp32,fp32,43,9.675583e-05,1e-06,iter
64,fp32,fp32,44,9.0304537e-05,1e-06,iter
64,fp32,fp32,45,8.2984196e-05,1e-06,iter
64,fp32,fp32,46,7.9711172e-05,1e-06,iter
64,fp32,fp32,47,8.0805745e-05,1e-06,iter
64,fp32,fp32,48,7.9566591e-05,1e-06,iter
64,fp32,fp32,49,7.7904158e-05,1e-06,iter
64,fp32,fp32,50,7.5386917e-05,1e-06,iter
64,fp32,fp32,51,7.2647737e-05,1e-06,iter
64,fp32,fp32,52,7.0601789e-05,1e-06,iter
64,fp32,fp32,53,6.8212983e-05,1e-06,iter
64,fp32,fp32,54,6.5080858e-05,1e-06,iter
64,fp32,fp32,55,6.1450955e-05,1e-06,iter
64,fp32,fp32,56,5.8731359e-05,1e-06,iter
64,fp32,fp32,57,5.76743e-05,1e-06,iter
64,fp32,fp32,58,5.6049965e-05,1e-06,iter
64,fp32,fp32,59,5.4023818e-05,1e-06,iter
64,fp32,fp32,60,5.0446964e-05,1e-06,iter
64,fp32,fp32,61,4.8389218e-05,1e-06,iter
64,fp32,fp32,62,4.6728986e-05,1e-06,iter
64,fp32,fp32,63,4.4121953e-05,1e-06,iter
64,fp32,fp32,64,4.1311021e-05,1e-06,iter
64,fp32,fp32,65,3.8822254e-05,1e-06,iter
64,fp32,fp32,66,3.7316087e-05,1e-06,iter
64,fp32,fp32,67,3.6263475e-05,1e-06,iter
64,fp32,fp32,68,3.5267261e-05,1e-06,iter
64,fp32,fp32,69,3.3945973e-05,1e-06,iter
64,fp32,fp32,70,3.3976896e-05,1e-06,iter
64,fp32,fp32,71,3.3118205e-05,1e-06,iter
64,fp32,fp32,72,3.2323929e-05,1e-06,iter
64,fp32,fp32,73,3.2457585e-05,1e-06,iter
64,fp32,fp32,74,3.3357403e-05,1e-06,iter
64,fp32,fp32,75,3.3228771e-05,1e-06,iter
64,fp32,fp32,76,3.1814314e-05,1e-06,iter
64,fp32,fp32,77,3.0578307e-05,1e-06,iter
64,fp32,fp32,78,2.9673081e-05,1e-06,iter
64,fp32,fp32,79,2.9678467e-05,1e-06,iter
64,fp32,fp32,80,2.9809351e-05,1e-06,iter
64,fp32,fp32,81,2.8150846e-05,1e-06,iter
64,fp32,fp32,82,2.631538e-05,1e-06,iter
64,fp32,fp32,83,2.4070552e-05,1e-06,iter
64,fp32,fp32,84,2.1352569e-05,1e-06,iter
64,fp32,fp32,85,1.9483052e-05,1e-06,iter
64,fp32,fp32,86,1.7520193e-05,1e-06,iter
64,fp32,fp32,87,1.6128173e-05,1e-06,iter
64,fp32,fp32,88,1.496851e-05,1e-06,iter
64,fp32,fp32,89,1.3904228e-05,1e-06,iter
64,fp32,fp32,90,1.3442364e-05,1e-06,iter
64,fp32,fp32,91,1.3845206e-05,1e-06,iter
64,fp32,fp32,92,1.4508277e-05,1e-06,iter
64,fp32,fp32,93,1.5241402e-05,1e-06,iter
64,fp32,fp32,94,1.5953887e-05,1e-06,iter
64,fp32,fp32,95,1.5842679e-05,1e-06,iter
64,fp32,fp32,96,1.4847319e-05,1e-06,iter
64,fp32,fp32,97,1.3261717e-05,1e-06,iter
64,fp32,fp32,98,1.2441905e-05,1e-06,iter
64,fp32,fp32,99,1.1955568e-05,1e-06,iter
64,fp32,fp32,100,1.1150887e-05,1e-06,iter
64,fp32,fp32,101,1.0400762e-05,1e-06,iter
64,fp32,fp32,102,1.0020146e-05,1e-06,iter
64,fp32,fp32,103,9.6536078e-06,1e-06,iter
64,fp32,fp32,104,9.3382141e-06,1e-06,iter
64,fp32,fp32,105,8.8496699e-06,1e-06,iter
64,fp32,fp32,106,8.158423e-06,1e-06,iter
64,fp32,fp32,107,7.4841792e-06,1e-06,iter
64,fp32,fp32,108,6.6563589e-06,1e-06,iter
64,fp32,fp32,109,6.1704341e-06,1e-06,iter
64,fp32,fp32,110,5.5595833e-06,1e-06,iter
64,fp32,fp32,111,4.9414029e-06,1e-06,iter
64,fp32,fp32,112,4.4868366e-06,1e-06,iter
64,fp32,fp32,113,3.9794027e-06,1e-06,iter
64,fp32,fp32,114,3.4888697e-06,1e-06,iter
64,fp32,fp32,115,3.1801226e-06,1e-06,iter
64,fp32,fp32,116,2.9363705e-06,1e-06,iter
64,fp32,fp32,117,2.64759e-06,1e-06,iter
64,fp32,fp32,118,2.5276997e-06,1e-06,iter
64,fp32,fp32,119,2.4017845e-06,1e-06,iter
64,fp32,fp32,120,2.2526806e-06,1e-06,iter
64,fp32,fp32,121,2.1592932e-06,1e-06,iter
64,fp32,fp32,122,2.0856694e-06,1e-06,iter
64,fp32,fp32,123,1.964175e-06,1e-06,iter
64,fp32,fp32,124,1.8295127e-06,1e-06,iter
64,fp32,fp32,125,1.593254e-06,1e-06,iter
64,fp32,fp32,126,1.4632736e-06,1e-06,iter
64,fp32,fp32,127,1.3200505e-06,1e-06,iter
