n,kappa,fmt,accum,rel_error,gflops
128,100,fp32,fp32,0.000000e+00,606.377
128,100,fp32,small,1.934233e-07,198.943
128,100,tf32,fp32,5.103900e-02,500.810
128,100,tf32,small,9.451425e-02,15.020
128,100,bfloat16,fp32,1.042624e-01,768.467
128,100,bfloat16,small,2.209070e-01,15.213
128,100,fp8,fp32,2.886786e-01,762.603
128,100,fp8,small,7.792614e-01,15.294
128,1000,fp32,fp32,0.000000e+00,680.122
128,1000,fp32,small,1.971722e-07,232.487
128,1000,tf32,fp32,3.642090e-02,768.475
128,1000,tf32,small,7.690892e-02,15.308
128,1000,bfloat16,fp32,1.062171e-01,756.955
128,1000,bfloat16,small,2.221812e-01,15.275
128,1000,fp8,fp32,3.183190e-01,762.603
128,1000,fp8,small,8.920019e-01,15.347
128,10000,fp32,fp32,0.000000e+00,675.627
128,10000,fp32,small,1.953677e-07,243.727
128,10000,tf32,fp32,2.564565e-02,768.467
128,10000,tf32,small,5.859308e-02,14.736
128,10000,bfloat16,fp32,1.114149e-01,684.789
128,10000,bfloat16,small,2.188742e-01,14.415
128,10000,fp8,fp32,3.103775e-01,684.789
128,10000,fp8,small,8.617940e-01,13.989
128,100000,fp32,fp32,0.000000e+00,653.726
128,100000,fp32,small,2.008264e-07,216.012
128,100000,tf32,fp32,3.185131e-02,740.259
128,100000,tf32,small,6.730881e-02,15.051
128,100000,bfloat16,fp32,1.026170e-01,719.066
128,100000,bfloat16,small,2.176417e-01,15.142
128,100000,fp8,fp32,3.081953e-01,734.682
128,100000,fp8,small,8.229657e-01,15.128
128,1e+06,fp32,fp32,0.000000e+00,675.525
128,1e+06,fp32,small,1.944154e-07,228.784
128,1e+06,tf32,fp32,2.525773e-02,703.976
128,1e+06,tf32,small,6.153717e-02,15.199
128,1e+06,bfloat16,fp32,1.212502e-01,740.130
128,1e+06,bfloat16,small,2.340651e-01,15.169
128,1e+06,fp8,fp32,3.118442e-01,694.190
128,1e+06,fp8,small,8.023038e-01,14.902
256,100,fp32,fp32,0.000000e+00,752.611
256,100,fp32,small,3.010656e-07,324.329
256,100,tf32,fp32,4.366130e-02,976.129
256,100,tf32,small,7.710330e-02,17.166
256,100,bfloat16,fp32,1.050119e-01,1112.290
256,100,bfloat16,small,2.273622e-01,16.866
256,100,fp8,fp32,2.935615e-01,1143.914
256,100,fp8,small,1.213204e+00,17.138
256,1000,fp32,fp32,0.000000e+00,868.722
256,1000,fp32,small,2.990677e-07,348.317
256,1000,tf32,fp32,3.980492e-02,1187.768
256,1000,tf32,small,7.606535e-02,16.931
256,1000,bfloat16,fp32,1.024179e-01,1143.914
